"rid", "binaryID"
29629,1
29630,10
29631,100
29632,1000
30834,1001
29633,10000
30117,10010
30833,100000
30135,100100
30128,1000000
30249,1001000
30832,10000000
28724,10010000
29634,100000000
30265,100100000
30800,100100001
29635,1000000000
29636,10000000000
29637,100000000000
29638,1000000000000
29639,10000000000000
30831,10000000000001
29640,100000000000000
30320,100000000000010
29641,1000000000000000
29642,10000000000000000
29643,100000000000000000
30839,100000000000000001
29644,1000000000000000000
30830,1000000000000000001
28871,1000000000000000010
29645,10000000000000000000
30801,10000000000000000010
30754,10000000000000000100
29646,100000000000000000000
30290,100000000000000000100
30843,100000000000000001000
29647,1000000000000000000000
30016,1000000000000000000001
30294,1000000000000000001000
30295,1000000000000000001001
30728,1000000000000000010000
29648,10000000000000000000000
30017,10000000000000000000010
30802,10000000000000000010000
30727,10000000000000000010010
29649,100000000000000000000000
30838,100000000000000000000001
30018,100000000000000000000100
30076,100000000000000000000101
28880,100000000000000000100000
30726,100000000000000000100100
30829,1000000000000000000000000
28879,1000000000000000000000010
30019,1000000000000000000001000
30077,1000000000000000000001010
30753,1000000000000000001000000
30845,1000000000000000001001000
30468,10000000000000000000000000
30846,10000000000000000000000100
30020,10000000000000000000010000
30305,10000000000000000000010001
30078,10000000000000000000010100
28881,10000000000000000010000000
30374,10000000000000000010010000
30469,100000000000000000000000000
30757,100000000000000000000001000
30021,100000000000000000000100000
30079,100000000000000000000101000
30740,100000000000000000000101001
30844,100000000000000000100000000
30852,100000000000000000100100000
30309,1000000000000000000000000000
30854,1000000000000000000000010000
30022,1000000000000000000001000000
30080,1000000000000000000001010000
30804,1000000000000000000001010001
30245,1000000000000000000001010010
30246,1000000000000000000001010011
30730,1000000000000000001000000000
30400,1000000000000000001001000000
30316,10000000000000000000000000000
30470,10000000000000000000000000001
30731,10000000000000000000000100000
30023,10000000000000000000010000000
30081,10000000000000000000010100000
30799,10000000000000000000010100010
30243,10000000000000000000010100110
30244,10000000000000000000010100111
30724,100000000000000000000000000000
28878,100000000000000000000000000010
30024,100000000000000000000100000000
28683,100000000000000000000101000000
30082,100000000000000000000101000001
30280,100000000000000000000101000100
30112,100000000000000000000101001100
