"rid", "binaryID"
28349,1
28330,10
28329,100
27956,1000
27957,10000
27465,100000
27958,100001
28013,1000000
27959,1000010
27960,10000100
27975,100001000
27976,1000010000
28020,1000010001
27977,10000100000
28016,10000100001
28376,10000100010
28375,100001000000
28374,100001000010
28011,100001000100
27978,1000010000000
28009,1000010000100
27979,10000100000000
28010,10000100000001
28372,10000100001000
27980,100001000000000
28373,100001000000010
28003,100001000010000
27981,1000010000000000
28007,1000010000000100
27982,10000100000000000
28371,10000100000001000
27983,100001000000000000
27458,100001000000010000
27984,1000010000000000000
28365,1000010000000000001
27985,10000100000000000000
28363,10000100000000000010
27986,100001000000000000000
28004,100001000000000000001
25380,100001000000000000100
27987,1000010000000000000000
28319,1000010000000000000001
27988,1000010000000000001000
28370,10000100000000000000000
25379,10000100000000000000010
28305,10000100000000000000011
28303,10000100000000000010000
27995,100001000000000000000100
27996,100001000000000000000101
28304,100001000000000000100000
28331,100001000000000000100001
28309,1000010000000000000001000
28300,1000010000000000000001010
28302,1000010000000000001000000
28306,1000010000000000001000001
28295,10000100000000000000010000
28308,10000100000000000000010001
28301,10000100000000000000010100
28297,10000100000000000010000010
28298,10000100000000000010000011
28311,100001000000000000000100000
28294,100001000000000000000100010
28307,100001000000000000000100011
28299,100001000000000000000101000
28312,1000010000000000000001000000
28313,1000010000000000000001000100
28364,1000010000000000000001000110
28296,10000100000000000000010000000
28310,10000100000000000000010001000
28292,10000100000000000000010001100
28293,100001000000000000000100010000
28291,100001000000000000000100011000
