"rid", "binaryID"
14361,1
12188,10
12189,100
12190,1000
13479,1001
12191,10000
13721,10001
12192,100000
12193,1000000
13722,1000001
12194,10000000
13086,10000001
13723,10000010
12195,100000000
13467,100000001
13074,100000100
13480,1000000000
13690,1000000001
13729,1000000010
12196,10000000010
13689,10000000011
13730,10000000100
12197,100000000100
13688,100000000101
13358,100000000110
12198,1000000001000
12790,1000000001001
13070,1000000001010
12199,10000000010000
12200,10000000010001
12791,10000000010010
13069,10000000010100
13076,10000000010101
13400,100000000100000
12201,100000000100010
13687,100000000100011
12792,100000000100100
13058,100000000100101
13073,100000000101000
13078,100000000101010
13514,1000000001000000
13734,1000000001000001
12202,1000000001000100
13686,1000000001000101
13045,1000000001000110
12793,1000000001001000
13056,1000000001001001
12203,10000000010001000
12811,10000000010001001
13685,10000000010001010
13731,10000000010001100
12794,10000000010010000
13051,10000000010010001
12204,100000000100010000
13684,100000000100010001
12812,100000000100010010
13052,100000000100010100
13732,100000000100010101
12795,100000000100100000
13050,100000000100100001
12205,1000000001000100000
13683,1000000001000100001
13505,1000000001000100010
12813,1000000001000100100
13508,1000000001000100101
13060,1000000001000101000
13044,1000000001000101010
13733,1000000001000101011
12796,1000000001001000000
12206,10000000010001000000
13682,10000000010001000001
13501,10000000010001000010
13515,10000000010001000100
12655,10000000010001001000
13504,10000000010001001001
13512,10000000010001001010
13513,10000000010001001011
13043,10000000010001010100
12207,100000000100010000000
13681,100000000100010000001
13507,100000000100010000010
13502,100000000100010000100
12656,100000000100010010000
13497,100000000100010010010
12208,1000000001000100000000
13678,1000000001000100000001
13680,1000000001000100000010
13498,1000000001000100100100
13500,1000000001000100100101
12209,10000000010001000000000
13679,10000000010001000000001
13529,10000000010001000000010
13496,10000000010001000000100
12210,100000000100010000000000
12715,100000000100010000000001
13499,100000000100010000000010
13519,100000000100010000000100
12211,1000000001000100000000000
13677,1000000001000100000000001
12716,1000000001000100000000010
12212,10000000010001000000000000
13676,10000000010001000000000001
13518,10000000010001000000000010
12717,10000000010001000000000100
13517,10000000010001000000000101
